concept,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
true,7,5,11,10,9,8,6,12,3,2,4,1
true,2,11,10,6,9,12,3,7,4,1,8,5
true,5,9,1,6,4,7,12,8,11,10,2,3
true,12,5,7,1,10,2,8,11,9,3,4,6
true,9,5,2,3,1,6,4,8,11,12,10,7
true,9,2,1,10,12,4,11,5,6,3,8,7
true,1,11,9,6,10,8,2,3,12,7,5,4
true,6,12,1,8,4,11,3,5,10,7,9,2
true,4,8,2,1,5,6,9,11,12,7,10,3
true,12,3,4,9,8,11,7,1,6,5,10,2
true,11,3,4,1,8,7,9,6,2,5,10,12
true,8,11,5,12,10,2,7,3,6,9,4,1
true,4,9,5,7,1,3,6,8,11,12,2,10
true,9,10,8,6,11,3,2,7,5,4,1,12
true,12,10,7,2,1,11,8,4,3,6,9,5
true,5,9,1,2,10,11,4,8,7,3,12,6
true,4,5,1,9,7,11,8,2,6,10,12,3
true,3,8,9,4,11,10,6,1,12,5,7,2
true,3,1,2,10,8,6,5,7,12,9,11,4
true,7,3,10,6,11,9,1,12,4,2,8,5
true,11,12,4,5,2,3,7,1,8,9,10,6
true,7,8,9,1,11,4,5,12,6,2,10,3
true,6,12,2,9,11,5,10,8,3,4,1,7
true,3,10,5,1,6,4,7,12,2,8,9,11
true,11,2,12,4,5,1,7,9,8,10,3,6
true,12,5,9,10,3,2,4,11,1,6,7,8
true,12,10,4,1,7,3,5,11,9,6,8,2
true,6,9,2,10,4,3,12,8,5,7,11,1
true,5,11,6,12,7,3,8,1,9,2,4,10
true,1,8,5,11,3,2,7,9,12,10,4,6
true,9,6,5,4,7,11,2,3,1,10,12,8
true,6,2,4,9,3,5,7,1,11,8,10,12
true,4,6,9,10,1,2,3,7,12,11,8,5
true,5,1,7,3,10,6,11,12,9,4,8,2
true,9,5,11,10,1,6,7,3,4,2,12,8
true,4,12,7,3,8,5,11,1,9,10,6,2
true,11,3,9,4,1,12,8,6,2,10,5,7
true,9,11,10,4,2,7,8,3,12,6,5,1
true,2,5,6,3,11,4,10,7,8,12,1,9
true,6,7,1,10,8,3,2,9,11,5,12,4
true,9,4,6,8,5,11,12,10,7,3,2,1
true,9,1,8,3,6,2,10,7,11,12,4,5
true,3,9,4,1,7,10,8,2,12,6,5,11
true,4,2,12,6,11,10,7,9,5,3,8,1
true,8,7,3,4,2,1,11,10,9,12,5,6
true,2,7,1,9,3,10,4,8,12,11,5,6
true,5,3,2,4,1,10,7,6,8,9,12,11
true,9,2,12,4,11,10,1,6,3,8,5,7
true,3,12,6,2,1,8,5,7,10,11,4,9
true,1,4,11,10,7,2,9,5,6,3,8,12
true,7,4,9,1,10,12,2,6,5,8,3,11
true,6,12,5,1,3,8,2,10,11,7,4,9
true,7,9,3,12,1,4,6,5,8,11,2,10
true,1,9,12,8,2,7,4,3,6,5,11,10
true,4,12,2,1,3,8,5,6,10,7,11,9
true,3,6,4,2,9,10,5,8,12,11,1,7
true,5,3,9,6,11,10,1,8,12,4,2,7
true,3,12,4,1,2,6,8,10,9,5,11,7
true,9,12,11,3,10,6,5,7,2,8,1,4
