concept,x1,x2,x3,x4,x5,x6,x7,x8,x9
true,5,9,6,9,7,5,9,6,5
true,5,4,7,8,6,9,5,6,7
true,6,5,8,9,5,8,7,6,9
true,9,5,4,9,5,5,7,6,8
true,7,9,4,5,7,4,5,6,9
true,8,6,5,8,6,5,7,6,9
true,8,4,9,9,5,4,4,7,6
true,8,9,6,6,7,4,6,5,8
true,4,8,5,7,5,4,4,8,6
true,6,9,4,8,4,5,9,8,7
true,8,8,4,4,8,8,5,9,4
true,9,7,6,8,6,6,5,9,4
true,8,7,4,4,6,5,4,4,7
true,8,9,7,7,4,8,4,6,7
true,6,7,4,8,5,8,4,4,9
true,9,4,6,7,8,7,6,5,6
true,8,5,4,8,8,4,8,9,8
true,6,6,9,4,6,7,9,5,4
true,6,5,4,7,4,8,8,6,5
true,8,8,5,9,8,6,7,4,9
true,9,7,6,5,8,7,4,7,5
true,6,7,8,5,6,7,8,5,5
true,4,8,6,5,5,4,5,5,7
true,5,6,6,5,6,6,7,5,6
true,5,4,8,7,8,9,6,4,9
true,9,4,7,9,5,7,6,4,7
true,7,4,5,4,4,4,5,5,9
true,8,6,9,8,5,5,6,7,7
true,5,5,7,7,7,5,5,7,4
true,7,4,6,5,7,8,4,9,9
true,5,7,9,4,8,5,6,6,4
true,6,8,5,6,6,8,7,5,9
true,6,9,8,9,4,8,9,5,8
true,7,7,9,8,9,4,6,5,8
true,7,8,7,5,9,7,5,5,8
true,5,9,6,8,9,5,8,9,4
true,6,9,5,5,5,7,4,6,4
true,9,7,4,6,4,7,5,9,5
true,7,5,5,6,9,6,5,8,4
true,8,6,6,7,7,8,9,7,7
true,5,8,7,4,5,7,5,5,4
true,9,9,8,8,6,6,5,5,7
true,5,5,4,8,7,6,7,7,6
true,5,9,8,6,7,7,5,4,6
true,6,5,4,9,8,9,5,9,9
true,4,6,8,7,5,6,6,4,9
true,4,9,6,9,9,5,4,8,9
true,5,5,9,7,7,4,5,9,4
true,4,6,7,8,6,4,7,6,9
true,6,9,4,8,8,7,8,5,5
true,5,7,5,5,7,4,6,4,9
true,5,4,8,7,6,6,7,7,8
true,9,6,4,6,9,7,7,7,6
true,9,8,7,5,5,9,5,6,7
true,5,4,7,4,9,9,4,4,8
true,7,4,4,5,7,5,6,9,7
true,5,9,6,4,9,5,4,7,8
true,5,4,5,8,6,8,6,5,4
true,8,8,5,6,7,5,7,8,8
true,4,6,8,6,4,8,6,5,6
true,6,7,8,8,6,4,7,5,9
true,9,5,6,4,9,4,9,5,4
true,7,7,6,6,9,6,9,6,9
true,4,7,5,7,5,5,8,8,4
true,9,7,5,5,9,6,6,4,7
true,7,7,7,6,4,8,8,5,7
true,5,7,4,6,9,4,5,7,4
true,9,8,9,5,5,7,9,5,7
true,8,9,4,4,7,5,4,7,8
true,6,7,6,8,6,5,9,4,9
true,4,7,4,9,4,4,5,9,7
true,9,6,8,9,9,5,5,5,6
true,5,6,4,7,4,8,6,9,4
true,9,4,7,4,9,5,6,7,9
true,4,8,4,6,6,4,5,9,6
true,5,4,7,4,4,5,5,4,9
true,6,4,4,9,7,8,8,9,8
true,5,6,6,7,4,5,7,8,4
true,7,5,4,8,8,7,4,9,8
true,8,6,9,7,6,5,8,5,9
true,4,8,6,7,5,4,9,5,6
true,8,7,7,4,4,7,9,8,9
true,9,5,9,8,5,5,5,8,7
true,5,8,4,6,7,4,9,6,9
true,9,9,9,7,6,7,4,7,9
true,5,4,5,5,6,4,8,4,9
true,8,5,6,6,4,8,5,9,7
true,5,4,5,4,5,9,5,4,7
true,7,9,7,5,8,4,7,6,9
true,8,9,5,8,9,5,8,7,9
true,7,6,7,7,8,6,8,5,8
true,7,7,9,6,4,5,7,9,4
true,4,7,4,8,5,4,7,5,5
true,4,8,4,9,4,6,8,8,8
true,5,6,9,9,9,9,5,7,6
true,8,8,5,4,8,7,5,8,8
true,4,5,4,4,9,9,7,9,4
true,4,5,5,9,8,6,6,4,6
true,9,9,6,7,6,5,4,4,6
true,4,6,4,7,9,8,4,7,9
false,4,4,4,6,5,4,3,1,8
false,8,7,1,3,4,1,9,9,5
false,7,1,1,8,3,4,5,8,1
false,3,8,2,3,3,7,5,1,2
false,9,7,8,1,4,2,4,8,4
false,4,3,6,3,5,4,8,8,5
false,7,8,4,1,4,5,5,6,5
false,9,3,3,2,3,8,8,2,5
false,9,3,4,9,7,2,2,6,7
false,3,6,3,6,1,6,7,9,6
false,2,7,7,2,2,5,3,8,9
false,5,2,4,5,7,7,3,8,6
false,9,2,9,3,1,4,1,8,9
false,9,3,4,4,7,4,2,8,1
false,2,9,8,5,3,4,1,1,7
false,5,6,9,1,6,1,5,3,5
false,4,6,2,6,9,6,4,1,1
false,7,2,6,9,2,8,4,2,1
false,8,4,8,6,1,9,6,8,1
false,7,3,9,5,6,3,1,9,8
false,8,9,3,3,3,3,5,4,2
false,8,4,9,6,1,1,1,4,9
false,6,6,2,1,4,6,8,6,9
false,4,4,1,2,2,4,5,8,5
