concept,x1,x2,x3,x4,x5,x6,x7,x8,x9
true,2,4,2,1,2,2,1,2,2
true,1,5,1,2,1,4,1,2,1
true,1,1,1,2,4,6,1,1,1
true,1,1,2,6,3,1,1,2,1
true,1,1,3,5,2,3,1,1,1
true,1,1,4,2,2,2,4,1,1
true,2,1,1,1,1,3,7,1,1
true,1,6,1,2,1,3,2,1,1
true,1,1,1,4,4,3,2,1,1
true,4,3,1,1,1,1,1,3,3
true,1,2,1,1,3,1,1,4,4
true,2,5,2,2,1,2,1,1,2
true,2,4,2,3,1,2,1,2,1
true,1,2,5,1,1,2,3,2,1
true,2,1,1,9,1,1,1,1,1
true,3,1,1,2,2,1,3,2,3
true,1,3,1,2,1,2,6,1,1
true,2,2,2,4,1,1,3,1,2
true,2,1,1,1,7,1,2,1,2
true,1,3,2,3,2,2,1,1,3
true,2,5,1,2,3,1,1,2,1
true,2,6,1,2,3,1,1,1,1
true,1,1,1,2,2,2,3,5,1
true,2,4,1,1,1,2,3,2,2
true,1,1,3,1,2,4,1,3,2
true,2,6,2,1,1,3,1,1,1
true,1,2,1,1,1,1,1,3,7
true,5,2,1,2,1,2,1,2,2
true,2,4,1,2,4,1,1,1,2
true,2,1,2,1,4,3,2,2,1
true,2,3,2,1,1,1,5,1,2
true,1,1,1,2,3,1,1,6,2
true,1,3,3,1,2,1,3,1,3
true,1,3,3,2,1,2,2,1,3
true,1,1,1,1,2,4,4,2,2
true,1,2,3,3,2,3,1,2,1
true,1,2,3,6,1,1,1,2,1
true,1,1,3,2,2,1,4,3,1
true,1,3,2,1,3,1,4,2,1
true,1,1,2,1,2,2,2,2,5
true,1,3,4,1,3,2,1,1,2
true,3,1,1,2,1,1,2,4,3
true,1,1,1,3,1,1,1,8,1
true,2,2,1,4,2,3,2,1,1
true,1,1,2,1,2,3,2,2,4
true,1,4,1,1,3,2,2,3,1
true,4,4,1,2,1,1,2,2,1
true,2,2,4,1,1,2,1,2,3
true,4,1,2,1,1,3,2,2,2
true,1,1,1,5,1,1,3,1,4
true,3,1,1,4,1,2,2,3,1
true,1,1,2,1,1,4,3,1,4
true,2,2,1,2,1,1,4,3,2
true,7,1,1,2,1,1,3,1,1
true,3,2,3,3,2,1,2,1,1
true,1,3,1,1,2,4,1,4,1
true,1,1,1,3,2,5,1,2,2
true,1,2,2,1,1,6,1,2,2
true,1,3,2,2,2,1,1,1,5
true,3,2,1,2,1,1,1,5,2
true,2,2,2,1,1,4,2,2,2
true,1,1,3,1,2,1,2,5,2
true,2,1,1,3,1,5,3,1,1
true,2,2,3,4,1,3,1,1,1
true,1,1,1,2,2,1,5,1,4
true,1,2,2,4,1,2,2,2,2
true,2,3,1,1,1,2,1,3,4
true,3,1,2,1,1,4,1,4,1
true,1,1,1,5,2,3,2,2,1
true,1,9,1,2,1,1,1,1,1
true,1,2,2,4,1,2,2,3,1
true,1,1,2,2,1,5,2,2,2
true,4,1,2,3,2,2,2,1,1
true,2,1,2,1,3,1,4,1,3
true,1,1,1,4,1,3,1,1,5
true,3,2,6,1,2,1,1,1,1
true,2,3,1,2,4,1,2,2,1
true,1,4,1,3,1,5,1,1,1
true,6,1,2,1,1,1,1,1,4
true,1,2,1,1,4,2,1,5,1
true,3,1,2,1,1,2,5,2,1
true,2,2,1,2,3,3,1,1,3
true,2,5,4,2,1,1,1,1,1
true,1,1,1,3,3,1,2,4,2
true,5,3,1,1,3,1,2,1,1
true,1,2,1,1,1,7,2,2,1
true,1,2,2,4,1,4,1,2,1
true,1,3,3,3,1,3,2,1,1
true,1,1,1,1,4,3,3,3,1
true,2,1,2,2,4,1,1,2,3
true,1,3,2,1,1,5,1,2,2
true,1,1,1,1,4,2,4,1,3
true,3,1,2,1,2,1,5,1,2
true,1,1,2,6,1,3,2,1,1
true,1,1,5,1,1,4,1,1,3
true,2,2,1,2,2,2,2,3,2
true,3,3,1,4,1,1,2,1,2
true,1,2,1,5,2,1,3,2,1
true,3,2,1,1,3,2,1,4,1
true,5,2,2,1,2,2,1,1,2
false,9,3,7,2,6,9,5,1,4
false,3,6,4,6,3,7,4,8,6
false,2,6,8,6,9,2,2,2,6
false,3,3,5,9,2,4,6,8,8
false,9,2,2,3,3,9,4,5,8
false,6,7,7,8,5,6,9,9,9
false,4,8,8,3,2,1,3,9,5
false,8,9,9,8,2,4,8,7,9
false,3,9,4,2,9,1,6,7,2
false,6,4,5,4,7,7,3,8,9
false,9,1,2,9,6,2,9,9,5
false,8,7,6,7,6,7,4,8,5
false,6,1,7,7,3,8,5,8,6
false,5,7,2,5,4,6,2,7,4
false,3,6,8,5,7,8,5,9,3
false,8,4,2,6,1,5,7,8,2
false,7,2,4,6,8,5,7,7,3
false,3,8,1,7,3,9,4,6,8
false,3,2,2,6,2,3,4,8,7
false,3,2,5,7,6,7,5,3,7
false,7,9,9,4,7,6,2,7,5
false,3,2,4,8,5,4,4,7,7
false,9,5,4,3,6,3,1,7,3
false,1,9,7,5,8,3,6,5,6
false,9,3,6,8,1,1,2,2,5
false,5,7,3,9,3,6,6,7,6
false,7,4,8,7,4,6,5,2,5
false,4,3,6,6,4,3,5,4,7
false,7,8,3,7,6,7,7,2,9
false,4,9,3,2,7,6,9,1,4
false,1,8,3,5,4,2,3,1,9
false,5,6,9,1,2,4,2,9,6
false,2,7,7,4,1,4,4,3,5
false,4,9,2,6,6,7,8,2,4
false,4,5,3,7,8,3,3,1,8
false,2,6,4,8,5,4,8,9,8
false,4,7,6,8,8,9,2,5,3
false,3,9,5,1,3,9,9,5,9
false,9,5,1,3,2,8,6,9,8
false,9,4,8,6,9,9,4,3,8
false,3,8,6,3,8,4,7,8,7
false,9,5,3,6,6,6,7,3,5
false,7,5,7,6,8,9,9,6,8
false,3,3,4,8,1,4,9,5,5
false,2,9,9,5,6,6,3,4,9
false,3,5,6,6,7,5,7,2,5
false,8,9,5,5,9,3,8,9,6
false,8,3,3,5,6,1,2,5,4
false,2,7,7,4,6,7,9,8,3
false,7,8,4,7,4,2,4,9,5
false,6,6,4,1,9,5,9,8,3
false,3,5,6,5,7,7,6,9,7
false,7,3,5,1,7,6,6,9,4
false,1,9,7,1,5,6,1,9,9
false,8,6,1,2,6,7,3,4,3
false,5,4,3,9,4,9,8,9,6
false,8,5,4,4,5,4,7,7,4
false,4,6,6,2,4,8,5,2,5
false,8,2,1,1,1,4,4,5,3
false,9,7,6,4,1,7,5,8,9
false,7,9,5,6,3,8,1,2,8
false,4,4,5,8,7,9,4,2,5
false,5,9,6,9,9,7,4,5,4
false,4,9,5,6,6,2,5,9,7
false,7,8,5,7,8,4,4,4,5
false,7,4,5,7,5,8,3,5,5
false,1,6,8,6,4,3,9,2,8
false,8,9,9,8,3,7,4,8,4
false,2,8,2,1,4,5,6,7,9
false,2,3,5,5,6,9,8,9,4
false,4,8,6,2,2,1,5,9,9
false,3,6,7,3,2,8,4,5,5
false,1,6,3,9,4,4,9,7,8
false,1,6,8,2,8,2,3,7,9
false,7,9,5,7,9,6,6,2,3
false,2,1,2,5,9,2,5,3,5
false,4,7,6,8,2,5,3,3,7
false,4,9,1,4,1,7,8,7,9
false,8,5,4,8,5,8,4,8,1
false,6,7,3,6,3,5,8,8,8
false,8,8,5,7,3,4,6,9,3
false,7,6,3,5,5,5,5,3,1
false,1,3,5,7,8,5,9,6,8
false,7,7,6,5,5,7,1,6,9
false,3,9,8,7,5,3,7,8,2
false,2,6,8,2,5,2,4,3,4
false,7,6,3,6,4,2,8,3,9
false,2,2,5,2,5,2,3,8,2
false,9,5,6,5,8,6,9,9,6
false,9,9,7,7,6,6,2,1,1
false,4,2,8,3,5,4,9,7,6
false,4,6,8,3,8,6,9,9,4
false,1,7,1,5,2,3,3,7,5
false,3,8,4,2,7,7,3,7,3
false,5,7,1,5,5,8,7,7,4
false,6,6,8,4,5,8,6,1,7
false,6,2,9,8,7,9,5,6,8
false,2,3,8,6,8,7,2,7,4
false,5,8,8,8,5,7,9,1,2
false,4,9,3,4,2,7,7,6,1
