concept,x1,x2,x3,x4,x5,x6
true,4,5,6,6,8,9
true,4,4,4,6,8,9
true,4,8,8,9,9,9
true,1,5,7,8,8,9
true,1,4,9,9,9,9
true,1,1,2,2,2,8
true,2,5,5,5,7,9
true,4,5,6,6,6,7
true,4,5,5,8,8,8
true,1,1,2,2,3,6
true,3,3,3,5,5,8
true,2,6,6,8,8,8
true,1,2,3,7,7,9
true,2,2,2,4,5,9
true,1,1,2,6,8,9
true,6,7,8,8,8,9
true,1,1,5,5,5,9
true,1,2,5,5,9,9
true,3,5,6,6,8,9
true,2,2,8,8,8,8
true,3,4,6,6,7,8
true,2,5,7,8,8,8
true,2,2,2,6,9,9
true,1,1,4,5,6,7
true,1,3,4,7,7,9
true,4,5,5,8,8,8
true,1,2,2,3,8,8
true,2,2,5,7,7,9
true,5,7,7,8,8,9
true,1,2,2,3,5,6
true,4,5,5,5,5,9
true,6,6,7,7,7,7
true,2,9,9,9,9,9
true,2,2,3,4,4,8
true,3,5,7,7,8,8
true,2,2,2,5,5,6
true,5,5,5,6,6,9
true,4,4,4,6,7,7
true,2,2,3,5,5,7
true,2,7,7,7,8,9
true,3,3,3,4,4,7
true,6,6,8,9,9,9
true,3,4,4,4,4,9
true,2,2,4,8,8,8
true,5,5,7,7,7,7
true,1,1,3,3,3,3
true,1,1,1,1,1,3
true,3,3,4,4,5,9
true,2,3,5,7,7,9
true,1,2,6,9,9,9
true,3,3,3,7,7,7
true,2,2,3,8,8,8
true,2,2,2,3,4,7
true,1,1,2,3,4,7
true,4,5,6,6,7,9
true,4,5,6,6,7,8
true,3,3,3,4,6,6
true,2,2,2,3,6,7
true,2,4,4,6,9,9
true,2,2,6,6,7,9
true,3,4,7,8,8,8
true,2,7,7,8,8,9
true,1,1,5,8,8,8
true,3,4,6,8,8,9
true,1,3,5,6,6,8
true,2,3,3,7,9,9
true,3,6,6,6,7,9
true,1,2,2,3,8,8
true,2,3,7,7,8,9
true,1,3,3,7,7,9
true,1,1,5,6,7,8
true,1,4,4,4,6,8
true,5,5,5,5,7,8
true,1,2,4,7,7,7
true,3,5,8,8,8,8
true,4,4,6,6,7,8
true,1,1,5,7,8,8
true,2,2,2,4,7,9
true,2,2,3,3,3,4
true,1,1,7,8,8,9
true,1,3,6,8,9,9
true,3,8,8,8,9,9
true,1,1,2,2,5,7
true,4,5,6,6,6,6
true,1,4,5,6,8,8
true,4,5,7,7,7,8
true,2,3,4,6,6,8
true,1,5,7,9,9,9
true,2,5,6,7,7,9
true,1,2,2,4,4,6
true,1,3,6,7,7,9
true,3,3,3,3,6,7
true,1,1,3,3,5,9
true,3,4,6,6,8,8
true,1,2,2,3,4,7
true,2,3,3,9,9,9
true,2,4,4,5,6,7
true,3,3,6,7,8,8
true,1,2,3,6,7,7
true,2,2,4,4,5,6
false,2,8,8,7,5,7
false,6,7,5,4,2,2
false,5,5,6,8,6,6
false,2,1,2,3,2,4
false,2,7,5,3,1,8
false,2,7,7,3,8,5
false,1,1,9,3,1,3
false,7,3,2,7,1,3
false,7,4,9,5,3,1
false,5,2,6,8,6,9
false,5,9,7,4,4,3
false,5,3,6,3,3,2
false,5,9,8,9,2,1
false,3,1,1,8,3,7
false,4,4,5,5,9,5
false,2,9,1,3,7,5
false,6,5,1,2,3,3
false,2,9,4,7,4,3
false,5,3,1,1,1,7
false,8,1,3,1,1,9
false,1,1,2,8,3,3
false,7,7,3,3,3,4
false,4,8,6,7,3,2
false,6,9,1,1,2,5
false,2,2,5,2,8,8
false,2,7,2,7,1,5
false,4,1,9,5,1,1
false,3,3,7,9,6,1
false,1,6,5,3,1,2
false,2,7,4,4,8,4
false,6,6,3,1,7,2
false,9,3,5,8,1,4
false,4,3,6,8,2,3
false,5,7,7,6,5,9
false,4,8,1,2,6,3
false,9,6,5,5,4,9
false,3,9,1,2,3,7
false,1,1,3,8,1,1
false,1,8,5,9,8,3
false,3,2,8,5,4,3
false,5,1,5,9,1,3
false,1,1,7,3,8,1
false,6,3,7,3,8,7
false,5,4,9,9,7,1
false,4,9,2,1,4,1
false,2,7,4,7,7,4
false,3,4,8,7,3,6
false,9,2,2,9,2,5
false,8,8,6,6,2,1
false,7,7,9,1,8,3
false,8,6,1,9,3,6
false,8,9,5,4,2,6
false,6,6,6,2,3,2
false,5,9,9,8,3,2
false,7,2,3,1,1,5
false,1,3,5,1,6,9
false,2,2,7,7,2,5
false,6,5,6,4,4,4
false,1,3,9,4,8,2
false,5,5,8,2,1,7
false,3,6,5,9,3,6
false,3,8,3,7,6,2
false,3,3,6,5,2,1
false,8,3,7,4,4,3
false,4,1,3,7,4,3
false,7,4,5,6,2,3
false,5,3,1,3,4,5
false,7,8,6,1,2,1
false,9,1,1,2,7,4
false,3,2,5,9,6,4
false,4,6,3,8,8,4
false,8,3,2,2,2,7
false,1,7,6,6,1,5
false,2,6,1,4,4,9
false,2,3,4,4,9,5
false,6,6,4,3,2,5
false,2,5,8,2,9,6
false,6,4,4,6,2,6
false,5,4,8,1,4,7
false,3,5,5,4,7,3
false,5,4,2,5,4,6
false,4,4,4,7,8,6
false,9,5,9,6,3,1
false,8,6,3,3,3,4
false,6,8,3,2,6,2
false,8,1,3,1,2,1
false,1,9,2,8,5,2
false,9,3,2,4,2,3
false,3,1,9,8,9,4
false,4,6,4,2,3,4
false,4,7,7,9,1,6
false,2,9,5,7,4,8
false,9,3,8,1,6,6
false,7,6,5,7,6,9
false,5,5,5,2,7,5
false,7,8,6,5,6,4
false,6,1,6,7,8,3
false,7,5,3,9,7,1
false,5,9,7,7,3,4
false,9,9,9,2,1,8
