concept,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
true,4,6,16,27,18,23,9,30,25,33,20,1
true,36,29,19,8,1,14,23,10,3,26,21,6
true,14,20,6,22,29,12,2,32,17,10,8,25
true,27,11,1,29,17,22,24,33,20,8,31,3
true,29,20,3,22,18,35,33,7,31,25,9,13
true,32,26,14,5,23,19,2,34,29,36,8,12
true,20,7,36,3,5,12,23,10,32,26,34,30
true,31,11,25,13,34,16,21,18,29,8,1,4
true,24,1,22,12,30,35,27,4,10,14,6,16
true,3,5,18,10,35,31,1,20,7,14,29,16
true,35,33,20,11,22,6,29,13,9,16,18,26
true,20,30,11,18,6,15,36,8,13,25,23,27
true,3,1,6,33,35,13,9,17,23,30,20,25
true,4,19,26,6,9,32,23,17,1,21,34,29
true,15,8,17,10,32,34,21,23,5,19,28,12
true,11,35,20,28,13,23,8,6,32,4,18,30
true,17,8,2,35,28,24,21,6,26,15,13,4
true,23,7,11,19,26,30,14,17,1,3,28,36
true,35,6,32,19,12,25,27,29,8,4,17,2
true,34,17,32,15,3,12,10,28,1,23,36,21
true,13,33,20,26,2,7,4,16,18,28,35,9
true,29,1,27,23,8,33,21,6,25,18,31,11
true,18,21,34,9,26,28,12,30,7,3,1,32
true,20,9,3,12,31,16,24,26,14,7,5,1
true,28,24,10,19,32,2,7,12,4,15,35,22
true,10,16,24,36,1,29,21,27,4,12,32,6
true,25,20,8,27,22,4,18,15,36,13,1,29
true,20,25,31,27,35,11,23,29,13,18,5,8
true,13,22,7,29,17,31,15,11,27,36,19,2
true,7,9,3,34,11,17,5,32,25,36,28,14
true,10,33,35,13,17,23,7,15,5,27,30,20
true,19,1,25,6,35,21,32,14,17,27,9,29
true,21,27,23,6,19,11,14,35,17,2,25,9
true,2,7,31,35,18,29,4,25,33,20,27,11
true,33,26,18,24,31,4,7,36,22,28,10,1
true,15,25,1,23,6,4,18,8,10,21,33,35
true,36,25,34,8,23,21,32,30,16,6,28,2
true,20,18,2,9,14,16,26,5,34,12,29,24
true,29,3,14,20,9,1,24,11,6,18,27,35
true,25,8,32,1,14,36,20,3,22,27,11,34
true,32,8,11,30,34,20,25,14,6,1,22,3
true,10,28,30,36,14,2,21,19,32,12,23,8
true,2,17,12,34,25,4,29,27,6,22,8,15
true,21,19,16,7,4,23,29,27,2,34,32,36
true,32,8,19,1,27,24,10,29,12,16,6,22
true,28,10,16,12,5,8,26,36,3,23,32,30
true,12,34,22,27,36,10,1,32,20,18,29,25
true,29,33,7,13,16,35,21,1,27,10,31,18
true,4,35,16,18,23,12,33,29,21,6,9,25
true,24,20,13,26,34,31,10,29,3,18,7,15
true,36,6,32,16,25,3,14,12,22,8,20,29
true,7,21,3,35,24,30,5,1,33,15,28,17
true,15,26,19,32,17,10,29,6,21,1,8,4
true,36,25,18,23,20,2,4,10,31,15,7,28
true,18,1,10,34,29,21,31,15,8,13,27,5
true,25,29,35,21,27,17,12,5,31,33,19,10
true,25,11,2,27,8,20,6,29,33,23,18,35
true,2,33,22,31,6,18,13,29,24,9,11,26
true,31,8,15,23,3,29,10,5,17,35,1,20
true,35,29,12,20,7,14,24,18,16,22,4,1
true,30,36,20,9,34,32,1,25,3,17,11,5
true,4,20,16,35,10,8,18,32,25,27,1,23
true,27,17,22,25,30,32,12,4,9,36,7,34
true,23,12,2,29,21,6,31,36,25,27,33,15
true,2,13,6,36,27,34,23,31,19,4,17,8
