concept,x1,x2,x3,x4,x5,x6
true,7,22,4,18,10,15
true,11,1,21,24,7,17
true,22,4,19,16,1,10
true,19,14,3,7,23,10
true,2,22,19,6,15,9
true,1,16,11,4,8,23
true,16,7,1,24,21,10
true,3,21,17,7,14,11
true,13,5,19,16,8,23
true,18,24,1,4,12,15
true,24,4,8,14,11,18
true,20,11,14,17,8,2
true,2,13,23,6,10,20
true,19,1,9,16,6,23
true,7,4,17,12,1,24
true,5,18,12,24,9,1
true,1,10,19,6,16,13
true,20,23,4,11,17,1
true,8,15,5,24,2,12
true,10,4,1,19,14,24
true,15,10,24,5,19,1
true,22,19,3,9,6,15
true,21,10,2,17,7,13
true,6,3,11,24,17,20
true,10,20,1,16,5,13
true,5,20,24,8,14,11
true,12,19,7,2,22,16
true,14,5,22,10,2,19
true,4,19,12,1,24,7
true,24,14,5,8,2,18
true,11,3,6,22,14,19
true,8,22,2,16,11,5
true,15,4,9,24,18,12
true,15,5,19,2,23,9
true,9,1,13,21,4,18
true,7,20,4,1,14,11
true,11,22,4,7,15,1
true,9,4,15,1,24,20
true,20,10,7,4,1,13
true,4,19,16,23,7,1
true,1,17,14,5,8,11
true,10,2,24,17,5,13
true,8,4,24,15,12,20
true,1,22,19,5,13,9
true,8,1,16,4,23,20
true,10,7,18,21,24,15
true,13,21,5,17,1,24
true,12,17,20,9,6,2
true,20,17,6,2,14,10
true,4,1,18,7,10,14
true,24,9,20,5,12,1
true,22,5,2,9,14,19
true,6,24,12,1,18,15
true,18,21,15,2,11,8
true,11,22,2,14,6,17
true,15,11,23,20,5,1
true,13,18,9,21,4,24
true,10,4,19,1,16,13
true,8,13,24,5,19,1
true,18,4,14,11,7,21
true,10,24,15,7,21,3
true,14,7,17,3,24,21
true,18,22,15,10,7,4
true,17,11,24,1,21,14
true,13,19,7,1,10,22
true,18,14,21,1,10,7
true,2,17,10,7,14,22
true,24,9,1,17,12,5
true,4,13,1,19,22,16
true,5,2,20,13,23,17
true,18,8,22,1,4,13
true,11,2,17,20,5,24
true,1,19,9,24,5,16
true,9,15,23,2,20,12
true,7,4,17,14,20,24
true,16,1,10,22,13,7
true,20,6,17,14,9,3
true,22,5,14,18,9,2
true,23,4,19,1,16,9
true,2,15,8,24,21,11
true,23,12,1,7,20,16
true,13,1,5,24,9,21
true,20,23,12,1,15,6
true,24,11,5,20,14,1
true,13,1,8,4,24,20
true,19,9,13,16,2,24
true,15,24,10,20,7,1
true,4,1,8,15,24,19
true,3,23,10,19,13,6
true,5,21,1,8,24,11
true,11,8,14,23,20,5
true,12,7,3,15,24,19
true,2,13,8,19,5,16
true,7,10,21,24,3,15
