bytes,ratio (%),filename: [C:\Users\jeanf\.julia\packages\CompositionalNetworks\DJEbb\src\,linenumber
2461270016,40.04,icn.jl,152
1569689744,25.53,icn.jl,150
812725440,13.22,genetic.jl,23
796184576,12.95,icn.jl,154
419112800,6.82,icn.jl,155
22581248,0.37,composition.jl,25
7331520,0.12,layer.jl,32
7211136,0.12,icn.jl,133
5171968,0.08,icn.jl,77
5171968,0.08,icn.jl,76
5171840,0.08,icn.jl,59
5171584,0.08,icn.jl,98
4807424,0.08,icn.jl,125
3012032,0.05,icn.jl,141
3012032,0.05,icn.jl,140
3004640,0.05,icn.jl,145
3004640,0.05,icn.jl,144
1939856,0.03,genetic.jl,46
1802784,0.03,icn.jl,136
1802784,0.03,icn.jl,135
1802784,0.03,icn.jl,120
1802784,0.03,icn.jl,119
1201856,0.02,icn.jl,158
1201856,0.02,composition.jl,24
1201792,0.02,genetic.jl,17
589824,0.01,metrics.jl,5
182208,0.0,icn.jl,117
97264,0.0,genetic.jl,7
38096,0.0,explore.jl,60
2272,0.0,genetic.jl,85
384,0.0,explore.jl,54
384,0.0,explore.jl,53
336,0.0,learn.jl,36
288,0.0,utils.jl,29
256,0.0,icn.jl,26
192,0.0,learn.jl,39
144,0.0,learn.jl,34
144,0.0,genetic.jl,81
112,0.0,explore.jl,58
96,0.0,layer.jl,66
96,0.0,genetic.jl,45
80,0.0,icn.jl,27
80,0.0,genetic.jl,60
80,0.0,genetic.jl,43
64,0.0,genetic.jl,82
64,0.0,genetic.jl,49
48,0.0,genetic.jl,59
32,0.0,explore.jl,59
32,0.0,explore.jl,26
16,0.0,genetic.jl,44
0,0.0,utils.jl,62
0,0.0,utils.jl,49
0,0.0,utils.jl,47
0,0.0,utils.jl,46
0,0.0,utils.jl,37
0,0.0,utils.jl,35
0,0.0,utils.jl,34
0,0.0,utils.jl,33
0,0.0,utils.jl,32
0,0.0,utils.jl,31
0,0.0,utils.jl,28
0,0.0,transformation.jl,80
0,0.0,transformation.jl,73
0,0.0,transformation.jl,66
0,0.0,transformation.jl,59
0,0.0,transformation.jl,33
0,0.0,transformation.jl,26
0,0.0,learn.jl,35
0,0.0,learn.jl,21
0,0.0,learn.jl,20
0,0.0,layer.jl,85
0,0.0,layer.jl,71
0,0.0,layer.jl,69
0,0.0,layer.jl,68
0,0.0,layer.jl,67
0,0.0,layer.jl,20
0,0.0,icn.jl,151
0,0.0,icn.jl,149
0,0.0,icn.jl,139
0,0.0,icn.jl,138
0,0.0,icn.jl,137
0,0.0,icn.jl,132
0,0.0,icn.jl,131
0,0.0,icn.jl,130
0,0.0,icn.jl,129
0,0.0,icn.jl,127
0,0.0,icn.jl,126
0,0.0,icn.jl,107
0,0.0,icn.jl,104
0,0.0,icn.jl,103
0,0.0,icn.jl,102
0,0.0,icn.jl,101
0,0.0,icn.jl,100
0,0.0,icn.jl,99
0,0.0,icn.jl,78
0,0.0,icn.jl,67
0,0.0,icn.jl,65
0,0.0,icn.jl,63
0,0.0,icn.jl,61
0,0.0,icn.jl,60
0,0.0,genetic.jl,107
0,0.0,genetic.jl,106
0,0.0,genetic.jl,105
0,0.0,genetic.jl,104
0,0.0,genetic.jl,87
0,0.0,genetic.jl,86
0,0.0,genetic.jl,83
0,0.0,genetic.jl,61
0,0.0,genetic.jl,24
0,0.0,genetic.jl,19
0,0.0,genetic.jl,16
0,0.0,explore.jl,63
0,0.0,explore.jl,24
0,0.0,explore.jl,23
0,0.0,composition.jl,23
0,0.0,comparison.jl,57
0,0.0,comparison.jl,51
0,0.0,comparison.jl,45
0,0.0,comparison.jl,38
0,0.0,comparison.jl,5
0,0.0,arithmetic.jl,11
0,0.0,arithmetic.jl,5
0,0.0,aggregation.jl,11
0,0.0,aggregation.jl,5
