bytes,ratio (%),filename: [C:\Users\jeanf\.julia\packages\CompositionalNetworks\rxbIQ\src\,linenumber
1704019332,22.36,metrics.jl,5
1164158391,15.27,icn.jl,157
862757082,11.32,transformation.jl,44
629515109,8.26,transformation.jl,34
427140513,5.6,transformation.jl,98
425397097,5.58,transformation.jl,108
421012052,5.52,transformation.jl,79
418539965,5.49,transformation.jl,89
372953844,4.89,aggregation.jl,11
280299686,3.68,icn.jl,158
126481278,1.66,genetic.jl,34
125916255,1.65,icn.jl,147
91636053,1.2,utils.jl,65
82368988,1.08,utils.jl,66
47306582,0.62,arithmetic.jl,5
40356848,0.53,icn.jl,156
28183766,0.37,icn.jl,143
24044662,0.32,comparison.jl,57
21347003,0.28,layer.jl,20
19718480,0.26,arithmetic.jl,11
19702811,0.26,comparison.jl,38
19305300,0.25,icn.jl,98
18404060,0.24,icn.jl,65
18366883,0.24,icn.jl,59
17360216,0.23,icn.jl,63
17148400,0.22,icn.jl,131
14294336,0.19,icn.jl,76
14057275,0.18,icn.jl,77
13799152,0.18,comparison.jl,5
13745392,0.18,icn.jl,136
13502660,0.18,icn.jl,104
12920896,0.17,icn.jl,151
9786002,0.13,icn.jl,61
9763120,0.13,layer.jl,32
9418560,0.12,icn.jl,133
9413339,0.12,icn.jl,101
8441712,0.11,aggregation.jl,5
7750880,0.1,icn.jl,103
7627168,0.1,composition.jl,25
5788944,0.08,comparison.jl,45
5210096,0.07,comparison.jl,51
4672384,0.06,icn.jl,138
3560576,0.05,icn.jl,139
3297296,0.04,icn.jl,146
3149472,0.04,composition.jl,24
2402512,0.03,icn.jl,150
2303264,0.03,icn.jl,102
2162848,0.03,utils.jl,68
2145392,0.03,icn.jl,144
1700928,0.02,icn.jl,99
1668880,0.02,icn.jl,137
1513888,0.02,genetic.jl,32
1435056,0.02,icn.jl,135
1273456,0.02,icn.jl,145
1197552,0.02,icn.jl,107
1196784,0.02,composition.jl,23
1004096,0.01,icn.jl,117
718000,0.01,icn.jl,100
705312,0.01,icn.jl,60
698400,0.01,genetic.jl,33
677776,0.01,icn.jl,132
660416,0.01,icn.jl,163
651824,0.01,icn.jl,142
640464,0.01,icn.jl,126
626784,0.01,icn.jl,141
615968,0.01,icn.jl,125
590272,0.01,genetic.jl,31
356016,0.0,icn.jl,78
355408,0.0,icn.jl,155
316752,0.0,genetic.jl,7
178272,0.0,icn.jl,67
154848,0.0,genetic.jl,27
104496,0.0,genetic.jl,50
44304,0.0,icn.jl,26
26144,0.0,utils.jl,53
17104,0.0,layer.jl,85
15824,0.0,utils.jl,48
10992,0.0,utils.jl,54
8720,0.0,utils.jl,50
5952,0.0,layer.jl,69
2912,0.0,explore.jl,52
2512,0.0,layer.jl,66
2512,0.0,icn.jl,27
2096,0.0,genetic.jl,40
1936,0.0,utils.jl,52
1760,0.0,genetic.jl,51
1392,0.0,utils.jl,56
1184,0.0,genetic.jl,38
1040,0.0,layer.jl,71
800,0.0,utils.jl,51
768,0.0,utils.jl,47
672,0.0,learn.jl,36
656,0.0,layer.jl,67
496,0.0,layer.jl,68
448,0.0,genetic.jl,52
384,0.0,explore.jl,46
384,0.0,explore.jl,45
272,0.0,genetic.jl,76
192,0.0,learn.jl,39
192,0.0,genetic.jl,30
144,0.0,learn.jl,34
144,0.0,genetic.jl,95
144,0.0,genetic.jl,72
128,0.0,genetic.jl,73
96,0.0,utils.jl,81
80,0.0,explore.jl,50
32,0.0,explore.jl,51
32,0.0,explore.jl,26
0,0.0,learn.jl,35
0,0.0,learn.jl,21
0,0.0,learn.jl,20
0,0.0,genetic.jl,98
0,0.0,genetic.jl,97
0,0.0,genetic.jl,96
0,0.0,genetic.jl,78
0,0.0,genetic.jl,77
0,0.0,genetic.jl,74
0,0.0,explore.jl,55
0,0.0,explore.jl,24
0,0.0,explore.jl,23
