bytes,ratio (%),filename: [C:\Users\jeanf\.julia\dev\CompositionalNetworks\src\,linenumber
75530240,60.23,icn.jl,157
31182176,24.87,icn.jl,158
11339120,9.04,icn.jl,156
5087056,4.06,genetic.jl,34
609376,0.49,composition.jl,25
177408,0.14,icn.jl,139
165280,0.13,layer.jl,32
140032,0.11,icn.jl,77
140032,0.11,icn.jl,76
139904,0.11,icn.jl,59
139648,0.11,icn.jl,98
118272,0.09,icn.jl,131
73920,0.06,icn.jl,151
73920,0.06,icn.jl,150
73920,0.06,icn.jl,147
73920,0.06,icn.jl,146
44352,0.04,icn.jl,142
44352,0.04,icn.jl,141
44352,0.04,icn.jl,126
44352,0.04,icn.jl,125
38096,0.03,explore.jl,52
29568,0.02,icn.jl,163
29568,0.02,composition.jl,24
29504,0.02,genetic.jl,32
16240,0.01,genetic.jl,7
10816,0.01,icn.jl,117
720,0.0,genetic.jl,27
640,0.0,icn.jl,26
576,0.0,utils.jl,48
384,0.0,explore.jl,46
384,0.0,explore.jl,45
336,0.0,learn.jl,36
256,0.0,genetic.jl,76
192,0.0,learn.jl,39
192,0.0,layer.jl,66
160,0.0,icn.jl,27
144,0.0,learn.jl,34
144,0.0,genetic.jl,72
112,0.0,explore.jl,50
80,0.0,genetic.jl,51
64,0.0,genetic.jl,73
64,0.0,genetic.jl,40
48,0.0,genetic.jl,50
48,0.0,genetic.jl,38
32,0.0,explore.jl,51
32,0.0,explore.jl,26
0,0.0,utils.jl,81
0,0.0,utils.jl,68
0,0.0,utils.jl,66
0,0.0,utils.jl,65
0,0.0,utils.jl,56
0,0.0,utils.jl,54
0,0.0,utils.jl,53
0,0.0,utils.jl,52
0,0.0,utils.jl,51
0,0.0,utils.jl,50
0,0.0,utils.jl,47
0,0.0,transformation.jl,108
0,0.0,transformation.jl,98
0,0.0,transformation.jl,89
0,0.0,transformation.jl,79
0,0.0,transformation.jl,44
0,0.0,transformation.jl,34
0,0.0,metrics.jl,5
0,0.0,learn.jl,35
0,0.0,learn.jl,21
0,0.0,learn.jl,20
0,0.0,layer.jl,85
0,0.0,layer.jl,71
0,0.0,layer.jl,69
0,0.0,layer.jl,68
0,0.0,layer.jl,67
0,0.0,layer.jl,20
0,0.0,icn.jl,155
0,0.0,icn.jl,145
0,0.0,icn.jl,144
0,0.0,icn.jl,143
0,0.0,icn.jl,138
0,0.0,icn.jl,137
0,0.0,icn.jl,136
0,0.0,icn.jl,135
0,0.0,icn.jl,133
0,0.0,icn.jl,132
0,0.0,icn.jl,107
0,0.0,icn.jl,104
0,0.0,icn.jl,103
0,0.0,icn.jl,102
0,0.0,icn.jl,101
0,0.0,icn.jl,100
0,0.0,icn.jl,99
0,0.0,icn.jl,78
0,0.0,icn.jl,67
0,0.0,icn.jl,65
0,0.0,icn.jl,63
0,0.0,icn.jl,61
0,0.0,icn.jl,60
0,0.0,genetic.jl,98
0,0.0,genetic.jl,97
0,0.0,genetic.jl,96
0,0.0,genetic.jl,95
0,0.0,genetic.jl,78
0,0.0,genetic.jl,77
0,0.0,genetic.jl,74
0,0.0,genetic.jl,52
0,0.0,genetic.jl,33
0,0.0,genetic.jl,31
0,0.0,genetic.jl,30
0,0.0,explore.jl,55
0,0.0,explore.jl,24
0,0.0,explore.jl,23
0,0.0,composition.jl,23
0,0.0,comparison.jl,57
0,0.0,comparison.jl,51
0,0.0,comparison.jl,45
0,0.0,comparison.jl,38
0,0.0,comparison.jl,5
0,0.0,arithmetic.jl,11
0,0.0,arithmetic.jl,5
0,0.0,aggregation.jl,11
0,0.0,aggregation.jl,5
